matched_order	archived_outcome	innovation_seed	l2_id	l4_id	map_name	iid_outcome	ar1_outcome	iid_collision	ar1_collision	iid_repaired_collision	ar1_repaired_collision	repair_delta	iid_safe_to_collision	ar1_safe_to_collision	safe_harm_delta	iid_lost_overtake	ar1_lost_overtake	overtake_loss_delta
6	collision	1	L2:5cfbd5af4a476a268e8216c123fbcc7ce9cf0b11ca5d14e620422baca9c0c400	L4:56a5605b7ba9cd57f558b13456e596aa260c13a689ba6b696a7863a2b8819f78	Hockenheim	collision	collision	1	1	0	0	0	0	0	0	0	0	0
6	collision	2	L2:5cfbd5af4a476a268e8216c123fbcc7ce9cf0b11ca5d14e620422baca9c0c400	L4:56a5605b7ba9cd57f558b13456e596aa260c13a689ba6b696a7863a2b8819f78	Hockenheim	collision	collision	1	1	0	0	0	0	0	0	0	0	0
6	collision	3	L2:5cfbd5af4a476a268e8216c123fbcc7ce9cf0b11ca5d14e620422baca9c0c400	L4:56a5605b7ba9cd57f558b13456e596aa260c13a689ba6b696a7863a2b8819f78	Hockenheim	collision	collision	1	1	0	0	0	0	0	0	0	0	0
6	overtake	0	L2:af2c49157f998003ae554568ee0c06ceba9f0807e12780ae7c877a201127d85b	L4:56a5605b7ba9cd57f558b13456e596aa260c13a689ba6b696a7863a2b8819f78	Hockenheim	overtake	collision	0	1	0	0	0	0	1	1	0	1	1
6	overtake	1	L2:af2c49157f998003ae554568ee0c06ceba9f0807e12780ae7c877a201127d85b	L4:56a5605b7ba9cd57f558b13456e596aa260c13a689ba6b696a7863a2b8819f78	Hockenheim	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
6	overtake	2	L2:af2c49157f998003ae554568ee0c06ceba9f0807e12780ae7c877a201127d85b	L4:56a5605b7ba9cd57f558b13456e596aa260c13a689ba6b696a7863a2b8819f78	Hockenheim	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
6	overtake	3	L2:af2c49157f998003ae554568ee0c06ceba9f0807e12780ae7c877a201127d85b	L4:56a5605b7ba9cd57f558b13456e596aa260c13a689ba6b696a7863a2b8819f78	Hockenheim	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
6	follow	0	L2:2c20f6bcb149e1f7a866a5012446dd963d0ca1642a165a61a089ca8a71f9258c	L4:56a5605b7ba9cd57f558b13456e596aa260c13a689ba6b696a7863a2b8819f78	Hockenheim	follow	follow	0	0	0	0	0	0	0	0	0	0	0
6	follow	1	L2:2c20f6bcb149e1f7a866a5012446dd963d0ca1642a165a61a089ca8a71f9258c	L4:56a5605b7ba9cd57f558b13456e596aa260c13a689ba6b696a7863a2b8819f78	Hockenheim	follow	follow	0	0	0	0	0	0	0	0	0	0	0
6	follow	2	L2:2c20f6bcb149e1f7a866a5012446dd963d0ca1642a165a61a089ca8a71f9258c	L4:56a5605b7ba9cd57f558b13456e596aa260c13a689ba6b696a7863a2b8819f78	Hockenheim	follow	follow	0	0	0	0	0	0	0	0	0	0	0
6	follow	3	L2:2c20f6bcb149e1f7a866a5012446dd963d0ca1642a165a61a089ca8a71f9258c	L4:56a5605b7ba9cd57f558b13456e596aa260c13a689ba6b696a7863a2b8819f78	Hockenheim	follow	follow	0	0	0	0	0	0	0	0	0	0	0
7	collision	0	L2:ebbe0e50ff8475afe38d3cff3caef36ff08aca2438e42d65e5e47b460078e37b	L4:ff8b5ed1d36bb5f66085176346a6cc24a81df3584ec29dfd2ea3014c98a89aea	Austin	collision	collision	1	1	0	0	0	0	0	0	0	0	0
7	collision	1	L2:ebbe0e50ff8475afe38d3cff3caef36ff08aca2438e42d65e5e47b460078e37b	L4:ff8b5ed1d36bb5f66085176346a6cc24a81df3584ec29dfd2ea3014c98a89aea	Austin	follow	collision	0	1	1	0	-1	0	0	0	0	0	0
7	collision	2	L2:ebbe0e50ff8475afe38d3cff3caef36ff08aca2438e42d65e5e47b460078e37b	L4:ff8b5ed1d36bb5f66085176346a6cc24a81df3584ec29dfd2ea3014c98a89aea	Austin	collision	collision	1	1	0	0	0	0	0	0	0	0	0
7	collision	3	L2:ebbe0e50ff8475afe38d3cff3caef36ff08aca2438e42d65e5e47b460078e37b	L4:ff8b5ed1d36bb5f66085176346a6cc24a81df3584ec29dfd2ea3014c98a89aea	Austin	follow	collision	0	1	1	0	-1	0	0	0	0	0	0
7	overtake	0	L2:f5433452dc632d06b3f5f440577ecf6405bfc8b263c2a9038636d8230d6431b4	L4:ff8b5ed1d36bb5f66085176346a6cc24a81df3584ec29dfd2ea3014c98a89aea	Austin	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
7	overtake	1	L2:f5433452dc632d06b3f5f440577ecf6405bfc8b263c2a9038636d8230d6431b4	L4:ff8b5ed1d36bb5f66085176346a6cc24a81df3584ec29dfd2ea3014c98a89aea	Austin	overtake	collision	0	1	0	0	0	0	1	1	0	1	1
7	overtake	2	L2:f5433452dc632d06b3f5f440577ecf6405bfc8b263c2a9038636d8230d6431b4	L4:ff8b5ed1d36bb5f66085176346a6cc24a81df3584ec29dfd2ea3014c98a89aea	Austin	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
7	overtake	3	L2:f5433452dc632d06b3f5f440577ecf6405bfc8b263c2a9038636d8230d6431b4	L4:ff8b5ed1d36bb5f66085176346a6cc24a81df3584ec29dfd2ea3014c98a89aea	Austin	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
7	follow	0	L2:d337dae140ef3dd5fd2b0f593961eed8934d568d208bede340edd9a88001f10a	L4:ff8b5ed1d36bb5f66085176346a6cc24a81df3584ec29dfd2ea3014c98a89aea	Austin	follow	follow	0	0	0	0	0	0	0	0	0	0	0
7	follow	1	L2:d337dae140ef3dd5fd2b0f593961eed8934d568d208bede340edd9a88001f10a	L4:ff8b5ed1d36bb5f66085176346a6cc24a81df3584ec29dfd2ea3014c98a89aea	Austin	follow	follow	0	0	0	0	0	0	0	0	0	0	0
7	follow	2	L2:d337dae140ef3dd5fd2b0f593961eed8934d568d208bede340edd9a88001f10a	L4:ff8b5ed1d36bb5f66085176346a6cc24a81df3584ec29dfd2ea3014c98a89aea	Austin	follow	follow	0	0	0	0	0	0	0	0	0	0	0
